"INP","OUT","XLN Audio - Addictive Drums 2","General MIDI                "
"---","---","-----------------------------","----------------------------"
"003","   ","Ride 2 CCpos (Tip/Bell)      ","                            "
"004","   ","Ride 1 CCpos (Tip/Bell)      ","                            "
"006","   ","Snare CCpos (Open/Shallow)   ","                            "
"007","   ","HiHat CC Hihat Shaft         ","                            "
"008","   ","HiHat CC Hihat Tip           ","                            "
"009","   ","HiHat CC Hihat Bell          ","                            "
"036","036","Kick                         ","Electric Bass Drum          "
"037","040","Snare Rimshot                ","Electric Snare or Rimshot   "
"038","040","Snare Open Hit               ","Electric Snare or Rimshot   "
"039","   ","Snare Rimshot (double)       ","                            "
"040","   ","Snare Open Hit (double)      ","                            "
"041","   ","Snare Shallow Rimshot        ","                            "
"042","037","Snare SideStick              ","Side Stick                  "
"043","   ","Snare Shallow Hit            ","                            "
"044","   ","Snare RimClick               ","                            "
"045","   ","Ride Tip (double)            ","                            "
"046","   ","Cymbal 1 (double)            ","                            "
"047","   ","Flexi 1 Hit A                ","                            "
"048","044","HiHat Pedal Closed           ","Pedal HiHat                 "
"049","042","HiHat Closed 1 Tip           ","Closed HiHat                "
"050","042","HiHat Closed 1 Shaft         ","Closed HiHat                "
"051","042","HiHat Closed 2 Tip           ","Closed HiHat                "
"052","042","HiHat Closed 2 Shaft         ","Closed HiHat                "
"053","042","HiHat Closed Bell            ","Closed HiHat                "
"054","046","HiHat Open A                 ","Open HiHat                  "
"055","046","HiHat Open B                 ","Open HiHat                  "
"056","046","HiHat Open C                 ","Open HiHat                  "
"057","046","HiHat Open D                 ","Open HiHat                  "
"058","046","HiHat Open Bell              ","Open HiHat                  "
"059","044","HiHat Pedal Open             ","Pedal HiHat                 "
"060","051","Ride 1 Tip                   ","Ride Cymbal 1               "
"061","053","Ride 1 Bell                  ","Ride Bell                   "
"062","051","Ride 1 Shaft                 ","Ride Cymbal 1               "
"063","   ","Ride 1 Choke                 ","                            "
"065","041","Tom 4 Open Hit               ","Low Floor Tom               "
"066","041","Tom 4 Rimshot                ","Low Floor Tom               "
"067","045","Tom 3 Open Hit               ","Low Tom                     "
"068","045","Tom 3 Rimshot                ","Low Tom                     "
"069","047","Tom 2 Open Hit               ","Low-Mid Tom                 "
"070","047","Tom 2 Rimshot                ","Low-Mid Tom                 "
"071","048","Tom 1 Open Hit               ","High-Mid Tom                "
"072","048","Tom 1 Rimshot                ","High-Mid Tom                "
"073","   ","Flexi 1 Hit B                ","                            "
"074","   ","Flexi 1 Hit C                ","                            "
"075","031","Snare Sticks                 ","Drum Sticks                 "
"076","   ","Flexi 1 Hit D                ","                            "
"077","049","Cymbal 1 Hit                 ","Crash Cymbal 1              "
"078","   ","Cymbal 1 Choke               ","                            "
"079","057","Cymbal 2 Hit                 ","Crash Cymbal 2              "
"080","   ","Cymbal 2 Choke               ","                            "
"081","052","Cymbal 3 Hit                 ","Chinese Cymbal              "
"082","   ","Cymbal 3 Choke               ","                            "
"084","059","Ride 2 Tip                   ","Ride Cymbal 2               "
"085","053","Ride 2 Bell                  ","Ride Bell                   "
"086","059","Ride 2 Shaft                 ","Ride Cymbal 2               "
"087","   ","Ride 2 Choke                 ","                            "
"089","055","Cymbal 4 Hit                 ","Splash Cymbal               "
"090","   ","Cymbal 4 Choke               ","                            "
"091","   ","Cymbal 5 Hit                 ","                            "
"092","   ","Cymbal 5 Choke               ","                            "
"093","   ","Cymbal 6 Hit                 ","                            "
"094","   ","Cymbal 6 Choke               ","                            "
"096","   ","Flexi 2 Hit A                ","                            "
"097","   ","Flexi 2 Hit B                ","                            "
"098","   ","Flexi 2 Hit C                ","                            "
"099","   ","Flexi 2 Hit D                ","                            "
"100","   ","Flexi 3 Hit A                ","                            "
"101","   ","Flexi 3 Hit B                ","                            "
"102","   ","Flexi 3 Hit C                ","                            "
"103","   ","Flexi 3 Hit D                ","                            "
